0,1,2,3,4,5,6,7,8,9,10
2 + 1,120,100,Ara Kat,15,Kombi,5,Eşyalı,Boş,Eyüpsultan,"20,000"
5 + 1,180,150,5,25,Kombi,14,Eşyalı Değil,Boş,Beylikdüzü,"8,500"
2 + 1,80,70,2,39,Merkezi (Pay Ölçer),5,Eşyalı Değil,Boş,Beşiktaş,"11,500"
2 + 1,100,85,Bahçe Katı,Sıfır Bina,Kombi,4,Eşyalı Değil,Boş,Beylikdüzü,"6,500"
1 + 1,65,60,4,Sıfır Bina,Kombi,7,Eşyalı Değil,Boş,Şişli,"10,000"
2 + 1,110,90,17,Sıfır Bina,Merkezi (Pay Ölçer),45,Eşyalı,Boş,Şişli,"45,000"
2 + 1,120,105,3,32,Merkezi,6,Eşyalı,Boş,Şişli,"29,000"
3 + 1,150,140,1,28,Kombi,5,Eşyalı Değil,Boş,Bahçelievler,"8,500"
1 + 1,85,65,11,4,Merkezi (Pay Ölçer),18,Eşyalı Değil,Boş,Kağıthane,"18,000"
3 + 1,156,130,9,10,Merkezi (Pay Ölçer),10,Eşyalı,Boş,Şişli,"45,000"
1 + 1,85,75,Bahçe Katı,25,Kombi,4,Eşyalı,Boş,Sarıyer,"9,000"
4 + 1,150,140,Ara Kat,5,Kombi,4,Eşyalı Değil,Boş,Sancaktepe,"7,500"
2 + 1,80,75,1,20,Kombi,3,Eşyalı,Boş,Şişli,"15,000"
